instance,time,cost,cplex_time,cplex_cost,time_delta,cost_percentage_err
0,0.5279,13.1231,0.0348,13.1231,0.4931,-0.0001
1,0.5239,10.0,0.0207,10.0,0.5032,0.0
2,0.492,14.0,0.0577,14.0,0.4343,0.0
3,0.5195,14.0,0.0255,14.0,0.494,0.0
4,0.4918,11.2361,0.0383,11.2361,0.4535,0.0003
