file,time,cost,instance
distance-matrix-25-0.txt,22.5663,37.3614,0
distance-matrix-25-1.txt,25.1076,37.5985,1
distance-matrix-25-2.txt,12.3104,76.2046,2
distance-matrix-25-3.txt,24.9263,57.9895,3
distance-matrix-25-4.txt,11.3257,36.3405,4
