file,time,cost,instance
distance-matrix-25-0.txt,2.0801,45.1896,0
distance-matrix-25-1.txt,5.8556,46.8553,1
distance-matrix-25-2.txt,9.7926,83.698,2
distance-matrix-25-3.txt,3.3994,67.9483,3
distance-matrix-25-4.txt,5.2386,45.585,4
