instance,time,cost,cplex_time,cplex_cost,time_delta,cost_percentage_err
0,60.8779,239.1429,109.1143,141.756,-48.2364,68.7004
1,366.17,241.278,186.3741,146.2383,179.7959,64.9896
2,168.3224,230.2494,68.737,139.8586,99.5854,64.6301
3,190.8554,231.7786,231.1319,132.101,-40.2765,75.4556
4,149.3695,246.7266,500.5227,150.3047,-351.1532,64.151
