0,file,nodes,time,cost,path
1,distance-matrix-25-4.txt,25,0.112743,35.162280,"[0,5,7,9,11,19,18,17,16,21,23,24,22,20,12,13,14,15,10,8,6,4,3,2,1,0]"
1,distance-matrix-25-2.txt,25,0.133475,75.030600,"[0,11,10,9,8,7,12,14,16,18,20,21,22,23,24,19,17,15,13,5,6,4,3,2,1,0]"
1,distance-matrix-25-3.txt,25,0.134367,57.162280,"[0,10,14,18,20,21,22,23,24,19,15,11,12,16,17,13,9,8,7,6,5,4,3,2,1,0]"
1,distance-matrix-25-1.txt,25,0.130374,36.043300,"[0,1,2,3,4,5,7,9,13,14,15,16,18,20,24,23,22,21,19,17,11,12,10,8,6,0]"
1,distance-matrix-25-0.txt,25,0.174743,35.420600,"[0,6,8,10,11,12,16,22,24,17,18,19,20,23,21,13,14,15,9,7,5,4,3,2,1,0]"
