0,file,nodes,time,cost,path
2,distance-matrix-50-3.txt,50,0.443527,88.259180,"[0,21,20,19,18,17,16,15,11,10,9,8,14,24,23,13,7,6,5,4,12,22,28,36,40,41,42,43,37,29,30,31,32,33,25,26,34,38,44,45,46,47,48,49,39,35,27,3,2,1,0]"
2,distance-matrix-50-2.txt,50,4.249012,68.755570,"[0,1,2,3,4,6,8,15,19,25,20,16,9,10,11,12,13,17,21,26,28,37,36,35,34,33,27,32,31,39,41,43,45,49,48,47,46,44,42,40,38,29,30,24,23,22,18,14,7,5,0]"
2,distance-matrix-50-0.txt,50,1.190256,69.320090,"[0,1,2,3,4,5,7,9,11,17,33,34,35,36,38,40,42,44,49,48,47,46,45,43,41,39,37,32,16,15,14,13,12,25,27,31,30,29,28,26,24,18,19,20,21,22,23,10,8,6,0]"
2,distance-matrix-50-1.txt,50,10.678656,103.429180,"[0,6,8,42,43,9,10,11,12,13,20,22,24,26,27,28,29,30,31,36,38,40,44,46,47,48,49,45,41,39,37,35,34,33,32,25,23,21,19,18,17,16,15,14,7,5,4,3,2,1,0]"
2,distance-matrix-50-4.txt,50,0.164812,78.803600,"[0,5,7,18,17,16,15,14,25,24,23,22,21,20,19,27,31,35,42,44,45,46,47,48,49,43,36,32,28,29,33,37,38,39,40,41,34,30,26,9,10,11,12,13,8,6,4,3,2,1,0]"
