round, nodes, instance, generation, time, cost
2,150, 4, 0, 0.000250417, 1821.46
2,150, 4, 1, 0.392964, 1105.8
2,150, 4, 2, 0.863764, 882.901
2,150, 4, 3, 1.33478, 780.879
2,150, 4, 4, 1.73608, 704.12
2,150, 4, 5, 2.14496, 673.577
2,150, 4, 6, 2.59995, 633.065
2,150, 4, 7, 2.98792, 604.004
2,150, 4, 8, 3.33873, 576.491
2,150, 4, 9, 3.76089, 555.527
2,150, 4, 10, 4.19949, 553.632
2,150, 4, 11, 4.60568, 514.474
2,150, 4, 12, 5.02636, 500.399
2,150, 4, 13, 5.41897, 496.305
2,150, 4, 14, 5.8061, 469.677
2,150, 4, 15, 6.19454, 470.316
2,150, 4, 16, 6.60263, 458.615
2,150, 4, 17, 6.99541, 454.423
2,150, 4, 18, 7.42167, 454.801
2,150, 4, 19, 7.83859, 456.691
2,150, 4, 20, 8.23569, 446.387
2,150, 4, 21, 8.60856, 429.223
2,150, 4, 22, 9.06327, 435.806
2,150, 4, 23, 9.51739, 425.792
2,150, 4, 24, 9.90645, 418.936
2,150, 4, 25, 10.3737, 426.289
2,150, 4, 26, 10.9415, 412.353
2,150, 4, 27, 11.3705, 405.196
2,150, 4, 28, 11.8184, 407.658
2,150, 4, 29, 12.2085, 413.838
2,150, 4, 30, 12.58, 416.224
2,150, 4, 31, 12.996, 412.531
2,150, 4, 32, 13.4868, 410.185
2,150, 4, 33, 13.9139, 411.168
2,150, 4, 34, 14.3503, 406.948
2,150, 4, 35, 14.7908, 401.881
2,150, 4, 36, 15.2666, 407.247
2,150, 4, 37, 15.6509, 414.341
2,150, 4, 38, 16.0596, 398.832
2,150, 4, 39, 16.5205, 409.691
2,150, 4, 40, 16.9068, 415.737
2,150, 4, 41, 17.3486, 433.955
2,150, 4, 42, 17.7326, 424.352
2,150, 4, 43, 18.1297, 398.309
2,150, 4, 44, 18.5458, 399.268
2,150, 4, 45, 18.9691, 431.795
2,150, 4, 46, 19.3974, 415.855
2,150, 4, 47, 19.7959, 421.712
2,150, 4, 48, 20.2061, 411.625
2,150, 4, 49, 20.563, 424.667
2,150, 4, 50, 20.9929, 406.144
2,150, 4, 51, 21.3988, 401.901
2,150, 4, 52, 21.8407, 403.454
2,150, 4, 53, 22.211, 411.153
2,150, 4, 54, 22.6106, 407.845
2,150, 4, 55, 23.0564, 409.485
2,150, 4, 56, 23.46, 409.83
2,150, 4, 57, 23.8799, 408.299
2,150, 4, 58, 24.2776, 393.127
2,150, 4, 59, 24.6612, 399.676
2,150, 4, 60, 25.0558, 385.595
2,150, 4, 61, 25.5303, 411.494
2,150, 4, 62, 25.9875, 409.747
2,150, 4, 63, 26.4258, 406.052
2,150, 4, 64, 26.8652, 403.823
2,150, 4, 65, 27.2582, 410.99
2,150, 4, 66, 27.6745, 409.984
2,150, 4, 67, 28.0603, 413.351
2,150, 4, 68, 28.4752, 410.328
2,150, 4, 69, 28.8787, 422.457
2,150, 4, 70, 29.2787, 414.439
2,150, 4, 71, 29.627, 414.433
2,150, 4, 72, 30.036, 403.915
2,150, 4, 73, 30.4834, 388.411
2,150, 4, 74, 30.8543, 421.173
2,150, 4, 75, 31.2394, 412.858
2,150, 4, 76, 31.6326, 407.632
2,150, 4, 77, 32.0202, 428.273
2,150, 4, 78, 32.4284, 420.185
