round, nodes, instance, generation, time, cost
1,150, 4, 0, 0.000419041, 1904.83
1,150, 4, 1, 0.428031, 1099.31
1,150, 4, 2, 0.847883, 871.433
1,150, 4, 3, 1.28638, 797.897
1,150, 4, 4, 1.70391, 731.814
1,150, 4, 5, 2.12422, 662.005
1,150, 4, 6, 2.52941, 588.333
1,150, 4, 7, 2.91488, 572.31
1,150, 4, 8, 3.3246, 546.915
1,150, 4, 9, 3.72746, 533.248
1,150, 4, 10, 4.15337, 516.727
1,150, 4, 11, 4.54734, 499.524
1,150, 4, 12, 4.95237, 472.187
1,150, 4, 13, 5.39307, 458.69
1,150, 4, 14, 5.77928, 455.676
1,150, 4, 15, 6.20889, 447.271
1,150, 4, 16, 6.66517, 432.558
1,150, 4, 17, 7.06791, 430.723
1,150, 4, 18, 7.47952, 435.644
1,150, 4, 19, 7.88081, 443.11
1,150, 4, 20, 8.26469, 428.825
1,150, 4, 21, 8.63361, 443.753
1,150, 4, 22, 9.0798, 437.741
1,150, 4, 23, 9.48815, 424.806
1,150, 4, 24, 9.90816, 440.979
1,150, 4, 25, 10.3291, 431.893
1,150, 4, 26, 10.7332, 421.378
1,150, 4, 27, 11.1381, 434.121
1,150, 4, 28, 11.5405, 446.315
1,150, 4, 29, 11.9439, 442.459
1,150, 4, 30, 12.3563, 428.947
1,150, 4, 31, 12.7479, 428.096
1,150, 4, 32, 13.1165, 437.996
1,150, 4, 33, 13.535, 451.554
1,150, 4, 34, 13.9027, 440.655
1,150, 4, 35, 14.2756, 439.336
1,150, 4, 36, 14.6886, 432.934
1,150, 4, 37, 15.0695, 426.77
1,150, 4, 38, 15.4867, 431.868
1,150, 4, 39, 15.8922, 424.261
1,150, 4, 40, 16.2649, 433.225
1,150, 4, 41, 16.6635, 446.293
1,150, 4, 42, 17.0946, 421.17
1,150, 4, 43, 17.5065, 407.398
1,150, 4, 44, 17.9351, 397.835
1,150, 4, 45, 18.3039, 410.324
1,150, 4, 46, 18.6931, 426.033
1,150, 4, 47, 19.1189, 451.3
1,150, 4, 48, 19.5265, 428.941
1,150, 4, 49, 19.9342, 433.137
1,150, 4, 50, 20.3372, 423.911
1,150, 4, 51, 20.7377, 394.973
1,150, 4, 52, 21.1181, 414.894
1,150, 4, 53, 21.5723, 393.899
1,150, 4, 54, 21.9798, 413.338
1,150, 4, 55, 22.3883, 401.451
1,150, 4, 56, 22.7495, 421.112
1,150, 4, 57, 23.1795, 414.111
1,150, 4, 58, 23.6135, 415.238
1,150, 4, 59, 24.0386, 401.765
1,150, 4, 60, 24.4131, 408.401
1,150, 4, 61, 24.767, 410.424
1,150, 4, 62, 25.1406, 404.721
1,150, 4, 63, 25.5396, 401.834
1,150, 4, 64, 25.917, 391.084
1,150, 4, 65, 26.3391, 396.836
1,150, 4, 66, 26.7564, 390.124
1,150, 4, 67, 27.1443, 382.569
1,150, 4, 68, 27.535, 377.33
1,150, 4, 69, 27.9399, 364.567
1,150, 4, 70, 28.3608, 377.384
1,150, 4, 71, 28.7451, 395.427
1,150, 4, 72, 29.1213, 403.467
1,150, 4, 73, 29.4922, 425.502
1,150, 4, 74, 29.8995, 413.276
1,150, 4, 75, 30.2734, 414.565
1,150, 4, 76, 30.6367, 407.6
1,150, 4, 77, 31.0911, 404.172
1,150, 4, 78, 31.4811, 388.296
1,150, 4, 79, 31.9099, 394.362
1,150, 4, 80, 32.325, 393.687
1,150, 4, 81, 32.7162, 405.595
1,150, 4, 82, 33.1482, 410.121
1,150, 4, 83, 33.533, 403.462
1,150, 4, 84, 33.9358, 405.619
1,150, 4, 85, 34.3715, 412.453
1,150, 4, 86, 34.842, 420.473
1,150, 4, 87, 35.2548, 403.904
1,150, 4, 88, 35.6507, 395.012
1,150, 4, 89, 36.0337, 410.464
1,150, 4, 90, 36.446, 395.359
1,150, 4, 91, 36.8219, 405.824
1,150, 4, 92, 37.2313, 394.543
1,150, 4, 93, 37.609, 416.661
1,150, 4, 94, 37.9959, 410.29
