round, nodes, instance, generation, time, cost
3,150, 4, 0, 0.0002795, 1815.47
3,150, 4, 1, 0.387626, 1109.64
3,150, 4, 2, 0.747741, 865.268
3,150, 4, 3, 1.16364, 776.507
3,150, 4, 4, 1.59109, 692.342
3,150, 4, 5, 1.99092, 642.309
3,150, 4, 6, 2.39487, 632.691
3,150, 4, 7, 2.77643, 597.622
3,150, 4, 8, 3.21662, 557.096
3,150, 4, 9, 3.62801, 540.209
3,150, 4, 10, 4.03542, 525.707
3,150, 4, 11, 4.45289, 500.77
3,150, 4, 12, 4.86778, 491.403
3,150, 4, 13, 5.27312, 480.399
3,150, 4, 14, 5.67112, 491.3
3,150, 4, 15, 6.07922, 492.616
3,150, 4, 16, 6.47178, 494.744
3,150, 4, 17, 6.86809, 454.136
3,150, 4, 18, 7.25844, 459.197
3,150, 4, 19, 7.68049, 443.945
3,150, 4, 20, 8.08509, 437.614
3,150, 4, 21, 8.50833, 449.163
3,150, 4, 22, 8.99269, 443.843
3,150, 4, 23, 9.42244, 431.863
3,150, 4, 24, 9.82984, 424.885
3,150, 4, 25, 10.2777, 423.572
3,150, 4, 26, 10.7109, 417.309
3,150, 4, 27, 11.1349, 420.914
3,150, 4, 28, 11.5247, 416.165
3,150, 4, 29, 11.8725, 406.395
3,150, 4, 30, 12.3338, 415.018
3,150, 4, 31, 12.7703, 408.51
3,150, 4, 32, 13.1747, 406.744
3,150, 4, 33, 13.6017, 400.274
3,150, 4, 34, 13.9992, 418.631
3,150, 4, 35, 14.4369, 417.967
3,150, 4, 36, 14.8666, 426.65
3,150, 4, 37, 15.2809, 428.473
3,150, 4, 38, 15.7358, 426.36
3,150, 4, 39, 16.1484, 413.169
3,150, 4, 40, 16.6052, 411.435
3,150, 4, 41, 17.0155, 408.752
3,150, 4, 42, 17.4014, 419.291
3,150, 4, 43, 17.7757, 432.525
3,150, 4, 44, 18.1703, 428.395
3,150, 4, 45, 18.6122, 437.773
3,150, 4, 46, 18.993, 414.894
3,150, 4, 47, 19.4228, 427.477
3,150, 4, 48, 19.8244, 416.812
3,150, 4, 49, 20.2211, 433.496
3,150, 4, 50, 20.6258, 421.102
3,150, 4, 51, 21.0191, 434.368
3,150, 4, 52, 21.4407, 412.04
3,150, 4, 53, 21.8171, 416.835
3,150, 4, 54, 22.1795, 409.368
3,150, 4, 55, 22.5868, 425.41
3,150, 4, 56, 22.9951, 414.931
3,150, 4, 57, 23.3697, 424.424
3,150, 4, 58, 23.745, 441.856
3,150, 4, 59, 24.1806, 433.269
3,150, 4, 60, 24.5853, 410.983
3,150, 4, 61, 24.9471, 416.618
3,150, 4, 62, 25.3308, 425.462
3,150, 4, 63, 25.7316, 402.063
3,150, 4, 64, 26.1072, 432.641
3,150, 4, 65, 26.5151, 423.747
3,150, 4, 66, 26.9232, 435.689
3,150, 4, 67, 27.3164, 433.778
3,150, 4, 68, 27.7059, 425.109
3,150, 4, 69, 28.101, 410.105
3,150, 4, 70, 28.5227, 435.822
3,150, 4, 71, 28.9122, 425.607
3,150, 4, 72, 29.3616, 425.446
3,150, 4, 73, 29.7658, 412.822
3,150, 4, 74, 30.1793, 414.938
3,150, 4, 75, 30.5519, 410.314
3,150, 4, 76, 30.9873, 396.791
3,150, 4, 77, 31.3952, 406.929
3,150, 4, 78, 31.8095, 396.554
