instance,time,cost,cplex_time,cplex_cost,time_delta,cost_percentage_err
0,7.4972,35.5138,0.1747,35.4206,7.3225,0.2631
1,4.5682,36.0433,0.1304,36.0433,4.4378,0.0
2,4.762,75.1181,0.1335,75.0306,4.6285,0.1166
3,3.3005,57.1623,0.1344,57.1623,3.1661,0.0
4,2.6038,35.2229,0.1127,35.1623,2.4911,0.1724
